source,section,page_url,parent_page,label,url,filename,source_year_dir,true_year,area,stock_group,stock,product_type,document_role,col_header,row_text,is_anomalous,anomaly_flags
NPFMC,2025 Groundfish SAFEs,https://www.npfmc.org/library/safe-reports/,https://www.npfmc.org/library/safe-reports/,2026 GOA Pacific cod,https://files.npfmc.org/SAFE/2025/GOApcod.pdf,GOApcod.pdf,2025,2026,GOA,groundfish,Pacific cod,document,assessment_or_safe,2025 Gulf of Alaska (GOA),BSAI Pacific cod2026 GOA Pacific cod 2026 GOA Pacific cod ESP 2026 GOA Pacific cod ESP Report Card 2025 GOA Pacific Cod,TRUE,dir_year_differs_from_true_year; goapcod_filename_reused
NPFMC,2025 Groundfish SAFEs,https://www.npfmc.org/library/safe-reports/,https://www.npfmc.org/library/safe-reports/,2026 GOA Pacific cod ESP,https://files.npfmc.org/SAFE/2025/GOApcodESP.pdf,GOApcodESP.pdf,2025,2026,GOA,groundfish,Pacific cod,ESP,ecosystem_profile,2025 Gulf of Alaska (GOA),BSAI Pacific cod2026 GOA Pacific cod 2026 GOA Pacific cod ESP 2026 GOA Pacific cod ESP Report Card 2025 GOA Pacific Cod,TRUE,dir_year_differs_from_true_year
NPFMC,2025 Groundfish SAFEs,https://www.npfmc.org/library/safe-reports/,https://www.npfmc.org/library/safe-reports/,2026 GOA Pacific cod ESP Report Card,https://files.npfmc.org/SAFE/2025/GOApcodESP_Report_Card.pdf,GOApcodESP_Report_Card.pdf,2025,2026,GOA,groundfish,Pacific cod,report_card,report_card,2025 Gulf of Alaska (GOA),BSAI Pacific cod2026 GOA Pacific cod 2026 GOA Pacific cod ESP 2026 GOA Pacific cod ESP Report Card 2025 GOA Pacific Cod,TRUE,dir_year_differs_from_true_year
