source,section,page_url,parent_page,label,url,filename,source_year_dir,true_year,area,stock_group,stock,product_type,document_role,col_header,row_text,is_anomalous,anomaly_flags
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Alaska Plaice,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/BSAIplaice.pdf,BSAIplaice.pdf,2024,2024,BSAI/GOA,groundfish,Alaska plaice,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Arrowtooth Flounder,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/BSAIatf.pdf,BSAIatf.pdf,2024,2024,NA,groundfish,Arrowtooth flounder,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Arrowtooth Flounder,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAatf.pdf,GOAatf.pdf,2024,2024,NA,groundfish,Arrowtooth flounder,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Atka Mackerel,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/BSAIatka.pdf,BSAIatka.pdf,2024,2024,NA,groundfish,Atka mackerel,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Atka Mackerel,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAatka.pdf,GOAatka.pdf,2024,2024,NA,groundfish,Atka mackerel,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Deep-water Flatfish,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAdeepflat.pdf,GOAdeepflat.pdf,2024,2024,NA,groundfish,Deep-water flatfish,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Demersal Shelf Rockfish,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAdsr.pdf,GOAdsr.pdf,2024,2024,NA,groundfish,Demersal shelf rockfish,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Dusky Rockfish,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAdusky.pdf,GOAdusky.pdf,2024,2024,NA,groundfish,Dusky rockfish,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Flathead Sole,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/BSAIflathead.pdf,BSAIflathead.pdf,2024,2024,NA,groundfish,Flathead sole,document,assessment_or_safe,NA,NA,FALSE,
NOAA,Groundfish SAFEs,https://www.fisheries.noaa.gov/alaska/population-assessments/2024-north-pacific-groundfish-stock-assessments,https://www.fisheries.noaa.gov/alaska/population-assessments/north-pacific-groundfish-stock-assessments-and-fishery-evaluation,Flathead Sole,https://www.npfmc.org/wp-content/PDFdocuments/SAFE/2024/GOAflathead.pdf,GOAflathead.pdf,2024,2024,NA,groundfish,Flathead sole,document,assessment_or_safe,NA,NA,FALSE,
